Timestamp,Decision,College,Major,GPA,Credit Hours (Please include the exact number),Residency,CAP
6/16/21 19:30,Denied,McCombs,Unspecified Business,3.96,52,In State,No
6/16/21 19:44,Denied,COLA,Economics,3.81,65,In State,No
6/16/21 19:50,Denied,CNS,Computer Science,3.9,79,In State,No
6/16/21 19:52,Denied,CNS,Biology,3.7,32,In State,No
6/16/21 19:54,Denied,COLA,Psychology,3.55,47,In State,No
6/16/21 20:00,Admitted,COLA,Government,4,57,Out of State,No
6/16/21 20:02,Denied,McCombs,Unspecified Business,3.85,47,In State,No
6/16/21 20:04,Admitted,COLA,Sociology,3.87,73,In State,No
6/16/21 20:09,Denied,CNS,Computer Science,3.82,78,In State,No
6/16/21 20:13,Denied,CNS,Mathematics,3.7,50,In State,No
6/16/21 20:20,Denied,COLA,Psychology,3.86,29,In State,No
6/16/21 20:25,Denied,Cockrell,Chemical Engineering,4,66,In State,No
6/16/21 20:32,Denied,Cockrell,Aerospace Engineering,3.81,34,In State,No
6/16/21 20:48,Admitted,COLA,Government,4,42,In State,No
6/16/21 20:48,Admitted,Cockrell,Architectural Engineering,4,63,In State,No
6/16/21 20:55,Denied,CNS,Computer Science,3.9,45,In State,No
6/16/21 21:14,Denied,McCombs,Unspecified Business,3.83,45,In State,No
6/16/21 21:18,Admitted,COLA,Philosophy,3.89,41,Out of State,No
6/16/21 21:18,Admitted,Cockrell,Electrical Engineering,3.92,26,In State,No
6/16/21 21:25,Admitted,Cockrell,Chemical Engineering,3.93,43,Out of State,No
6/16/21 21:27,Denied,McCombs,Unspecified Business,3.83,45,In State,No
6/16/21 21:31,Admitted,Cockrell,Electrical And Computer Engineering,3.89,45,In State,No
6/16/21 21:37,Denied,Cockrell,Civil Engineering,3.53,70,Out of State,No
6/16/21 22:08,Denied,CNS,Computer Science,3.9,69,In State,No
6/16/21 22:10,Denied,Nursing,Nursing,4,54,Out of State,No
6/16/21 22:15,Admitted,COLA,Health And Society,4,36,In State,No
6/16/21 22:17,Denied,COLA,Psychology,3.8,40,In State,No
6/16/21 22:58,Denied,Nursing,Nursing,3.9,33,In State,No
6/16/21 23:06,Admitted,COLA,Government,3.9,40,In State,No
6/16/21 23:08,Denied,McCombs,Accounting,4,88,In State,No
6/17/21 0:53,Admitted,COLA,Philosophy,3.89,41,Out of State,No
6/17/21 1:04,Denied,CNS,Public Health,3.8,30,In State,No
6/17/21 2:23,Admitted,Cockrell,Mechanical Engineering,3.8,30,Out of State,No
6/17/21 4:25,Admitted,Moody,Public Relations,4,30,In State,No
6/17/21 4:36,Admitted,Moody,Speech Pathology,3.71,71,In State,No
6/17/21 6:44,Admitted,COLA,Health And Society,3.78,42,In State,No
6/17/21 7:49,Admitted,COLA,Sustainability Studies,3.94,58,In State,No
6/17/21 9:43,Admitted,COLA,Urban Studies,3.8,66,In State,No
6/17/21 10:52,Admitted,COLA,English,3.79,70,In State,No
6/17/21 10:53,Denied,Cockrell,Electrical And Computer Engineering,4,42,In State,Yes
6/17/21 15:28,Denied,McCombs,Finance,4,54,In State,No
6/17/21 15:52,Denied,CNS,Computer Science,4,32,In State,No
6/17/21 19:48,Denied,CNS,Computer Science,4,38,In State,No
6/17/21 23:44,Denied,COLA,Economics,3.97,61,In State,No
6/18/21 1:08,Denied,Cockrell,Biomedical Engineering,3.89,84,In State,Yes
6/18/21 1:09,Admitted,COLA,Economics,3.89,84,In State,Yes
6/18/21 1:18,Denied,McCombs,Business,3.94,16,In State,No
6/18/21 15:20,Admitted,COLA,English,3.79,70,In State,No
6/19/21 23:45,Denied,Cockrell,Civil Engineering,3.81,62,In State,No
6/20/21 22:38,Admitted,Moody,Communication Sciences And Disorders,3.4,44,Out of State,No
6/21/21 22:28,Denied,McCombs,Accounting,4,88,In State,No
6/22/21 17:16,Admitted,COLA,International Relations And Global Studies,3.33,32,In State,No
6/24/21 16:41,Admitted,COLA,International Relations And Global Studies,3.83,33,In State,Yes
6/28/21 13:58,Denied,COLA,Biology,4,25,In State,No
6/28/21 14:41,Admitted,COLA,Economics,3.97,61,In State,No
6/28/21 15:00,Admitted,CNS,Mathematics,3.93,32,In State,No
6/28/21 15:05,Denied,CNS,Public Health,3.7,40,In State,No
6/28/21 15:47,Admitted,COLA,Economics,3.97,61,In State,No
7/1/21 12:53,Denied,CNS,Computer Science,3.81,60,In State,No
7/15/21 19:27,Denied,Cockrell,Mechanical Engineering,3.93,44,In State,No
7/22/21 20:17,Admitted,Nursing,Nursing,3.86,86,In State,No
8/4/21 20:43,Admitted,McCombs,Unspecified Business,3.89,61,In State,No
8/6/21 9:57,Admitted,Moody,Corporate Communications,4,32,In State,Yes
8/18/21 23:24,Admitted,Moody,Advertising,4,33,In State,Yes
8/20/21 2:14,Admitted,Information,Informatics,3.7,69,In State,No
