Timestamp,Decision,College,Major,GPA,Credit Hours (Please include the exact number),Residency,CAP
6/2/21 16:58,Admitted,COLA,Linguistics,3.82,30,In State,Yes
6/2/21 17:21,Admitted,COLA,Human Dimensions Of Organizations,4,31,In State,Yes
6/2/21 17:28,Admitted,COLA,Psychology,4,47,In State,Yes
6/2/21 17:32,Admitted,COLA,Psychology,3.9,32,In State,Yes
6/2/21 18:41,Admitted,Education,Theatre Education,3.9,59,In State,No
6/2/21 20:07,Admitted,COLA,Psychology,4,32,In State,Yes
6/2/21 21:42,Admitted,CNS,Biology,4,45,In State,No
6/2/21 23:31,Admitted,COLA,Sociology,3.9,30,In State,Yes
6/3/21 8:40,Admitted,COLA,Government,3.8,60,In State,No
6/3/21 10:18,Admitted,COFA,Design,3.7,72,In State,No
6/3/21 10:44,Admitted,COLA,Psychology,3.8,32,In State,Yes
6/3/21 13:07,Admitted,CNS,Biology,4,40,In State,No
6/5/21 20:05,Admitted,COLA,Psychology,3.96,55,In State,Yes
6/5/21 20:07,Admitted,CNS,Computer Science,3.8,42,In State,Yes
6/5/21 23:09,Admitted,CNS,Computer Science,4,40,In State,Yes
6/8/21 10:25,Admitted,Cockrell,Computer Engineering,4,36,In State,No
6/8/21 10:26,Admitted,Cockrell,Computer Engineering,4,36,In State,No
6/8/21 11:23,Admitted,Cockrell,Environmental Engineering,3.86,64,Out of State,No
6/8/21 11:30,Admitted,Cockrell,Petroleum Engineering,4,71,In State,No
6/8/21 11:38,Admitted,Geosciences,Geoscience,3.84,64,In State,No
6/8/21 13:32,Admitted,Geosciences,Environmental Science,3.85,55,In State,No
6/8/21 14:16,Admitted,Cockrell,Electrical And Computer Engineering,4,39,Out of State,No
6/8/21 16:26,Admitted,Cockrell,Computational Engineering,3.92,60,In State,No
6/8/21 17:19,Admitted,Theatre and Dance,Scenic Design,3.55,33,In State,No
6/8/21 17:19,Admitted,CNS,Public Health,3.67,39,In State,No
6/8/21 17:27,Admitted,Cockrell,Chemical Engineering,4,44,In State,No
6/8/21 17:28,Admitted,Moody,Radio-Television-Film,3.88,54,In State,Yes
6/8/21 17:38,Admitted,Moody,Radio-Television-Film,4,72,In State,No
6/8/21 17:42,Admitted,Moody,Advertising,3.86,54,In State,No
6/8/21 17:45,Admitted,Moody,Speech Pathology,4,47,In State,Yes
6/8/21 18:03,Admitted,Moody,Corporate Communications,4,32,In State,Yes
6/8/21 18:14,Admitted,Moody,Radio-Television-Film,4,31,In State,No
6/8/21 18:25,Admitted,Moody,Communication And Leadership,3.92,34,In State,No
6/8/21 18:26,Admitted,Moody,Interpersonal Communications,3.9,54,In State,No
6/8/21 18:42,Admitted,Moody,Radio-Television-Film,3.9,26,In State,No
6/8/21 18:43,Admitted,Social Work,Social Work,3.95,60,In State,No
6/8/21 18:54,Admitted,Education,Physical Culture And Sports,3.87,58,In State,No
